date,home,region,city
2012-07-11,"Carlisle, PA",Montana,"Somers, Montana"
2012-07-12,"Carlisle, PA",Montana,"Somers, Montana"
2012-07-13,"Carlisle, PA",Montana,"Somers, Montana"
2012-07-14,"Carlisle, PA",Colorado,"Denver, Colorado"
2012-07-15,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-07-16,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-07-17,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-07-18,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-07-19,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-07-20,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-07-21,None,District of Columbia,"Washington, District of Columbia"
2012-07-22,None,Belgium,"Brussels, Belgium"
2012-07-23,None,Belgium,"Brussels, Belgium"
2012-07-24,None,Belgium,"Brussels, Belgium"
2012-07-25,None,Belgium,"Brussels, Belgium"
2012-07-26,None,Belgium,"Brussels, Belgium"
2012-07-27,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-07-28,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-07-29,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-07-30,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-07-31,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-01,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-02,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-03,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-04,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-05,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-06,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-07,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-08,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-09,None,Germany,"Garmisch-Partenkirchen, Germany"
2012-08-10,None,Germany,"Frankfurt, Germany"
2012-08-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-15,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-21,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-22,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-23,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-24,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2012-08-25,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
